专业名称,学科门类,专业类,核心技能
哲学,哲学,哲学类,思辨性文本分析、逻辑推理与论证、批判性思维、跨文化思想比较、哲学经典研读、辩证思维运用
逻辑学,哲学,哲学类,形式逻辑推理、论证有效性分析、逻辑谬误识别、命题逻辑演算、谓词逻辑应用、逻辑系统构建
宗教学,哲学,哲学类,宗教典籍解读、跨宗教文化比较、宗教伦理分析、宗教社会学研究、宗教历史梳理
伦理学,哲学,哲学类,伦理决策框架构建、道德困境分析、社会伦理评估、科技伦理研判（如生命/环境伦理）、伦理规范制定
经济学,经济学,经济学类,宏观经济分析（GDP/通胀/货币政策）、微观经济博弈建模、计量经济分析（Stata/EViews）、经济政策效果评估、经济数据解读
经济统计学,经济学,经济学类,统计数据建模、数据可视化（Power BI/Tableau）、统计报告撰写、抽样调查设计、数据可靠性检验
国民经济管理,经济学,经济学类,区域经济规划、宏观政策效果评估、国民经济账户分析、经济运行监测、产业布局优化
资源与环境经济学,经济学,经济学类,环境成本核算、资源定价模型、绿色经济政策分析、生态价值评估、环境经济损益分析
商务经济学,经济学,经济学类,商务谈判、市场需求预测、企业经济行为分析、商业模式设计、商务数据分析
能源经济,经济学,经济学类,能源市场供需分析、能源政策评估、能源成本核算、新能源产业经济分析、能源安全风险研判
劳动经济学,经济学,经济学类,劳动力市场分析、薪酬体系设计、就业政策评估、人力资本测算、劳动关系协调
经济工程,经济学,经济学类,经济系统建模、工程成本效益分析、项目经济可行性评估、技术经济评价、资源优化配置
数字经济,经济学,经济学类,数字经济模型构建、电商数据运营、数字产业政策分析、平台经济监管研究、数字经济收益测算
财政学,经济学,财政学类,财政预算编制、财政政策效果评估、政府收支管理、财政风险防控、公共财政项目评估
税收学,经济学,财政学类,税收制度设计、税务筹划、税收合规审查、税收征管流程优化、涉税风险评估
国际税收,经济学,财政学类,国际税收协定解读、跨境税务筹划、国际避税风险评估、转让定价调整、跨境税收争议解决
金融学,经济学,金融学类,金融市场分析（股票/债券/衍生品）、财务报表解读、投资组合构建、风险对冲策略、金融监管政策解读
金融工程,经济学,金融学类,量化投资策略开发（Python）、金融衍生品定价（Black-Scholes模型）、风险对冲模型设计、金融数据建模、算法交易回测
保险学,经济学,金融学类,风险评估、保险产品设计、精算模型构建、保险理赔流程管理、保险资金运用分析
投资学,经济学,金融学类,投资项目估值（DCF/可比公司法）、资产配置策略、行业投资分析、投资风险控制、私募/公募基金运作
金融数学,经济学,金融学类,金融数学建模、随机过程分析、期权定价模型应用、利率期限结构构建、信用风险量化
信用管理,经济学,金融学类,信用风险评级、企业信用评估、信用政策设计、应收账款管理、信用数据库搭建
经济与金融,经济学,金融学类,宏微观金融联动分析、金融政策与经济周期关联评估、跨市场风险传导分析、产融结合方案设计
精算学,经济学,金融学类,精算模型构建、保险精算定价、风险准备金计算、寿险/非寿险精算分析、偿付能力评估
互联网金融,经济学,金融学类,互联网信贷风控、区块链金融应用、数字支付系统设计、P2P平台运营管理、互联网金融合规
金融科技,经济学,金融学类,金融大数据分析（Hadoop/Spark）、智能投顾策略开发、金融科技合规、API接口开发、金融AI模型应用（如反欺诈）
金融审计,经济学,金融学类,金融机构审计、金融风险合规审查、审计报告撰写、内控制度评估、金融舞弊线索识别
国际经济与贸易,经济学,经济与贸易类,国际贸易实务（进出口流程）、跨境电商运营（亚马逊/阿里国际站）、贸易术语应用（Incoterms）、信用证结算、国际贸易合规
贸易经济,经济学,经济与贸易类,贸易政策合规审查、市场渠道拓展、贸易流量预测、大宗商品贸易分析、内外贸一体化运营
国际经济发展合作,经济学,经济与贸易类,国际援助项目评估、跨境合作机制设计、发展中国家经济分析、国际经济组织规则应用、援外项目管理
法学,法学,法学类,法律条文解读、法律文书撰写（合同/诉状/意见书）、案例检索与类比、谈判式调解、法律风险评估、庭审辩论
知识产权,法学,法学类,知识产权确权流程（专利/商标/版权）、专利/商标检索分析、知识产权侵权维权、知识产权许可谈判、知识产权战略布局
监狱学,法学,法学类,监狱管理规范解读、服刑人员教育方案设计、狱政合规管理、社区矫正衔接、监狱安全风险防控
信用风险管理与法律防控,法学,法学类,信用风险法律合规审查、金融信用条款设计、风险防控方案撰写、不良资产处置法律实务、信用纠纷诉讼代理
国际经贸规则,法学,法学类,跨境贸易法律条款解读、WTO规则应用、国际经贸争端分析、双边/多边贸易协定研究、反倾销/反补贴应对
司法警察学,法学,法学类,司法警务规范执行、法庭安全保障、司法文书送达、犯罪嫌疑人押解、司法秩序维护
社区矫正,法学,法学类,社区矫正方案设计、服刑人员心理疏导、社区矫正合规管理、再犯罪风险评估、社区矫正档案管理
纪检监察,法学,法学类,纪律审查流程执行、监察证据收集（谈话/函询）、违纪案件定性分析、纪检监察法规解读、廉政风险防控
国际法,法学,法学类,国际条约解读、跨境法律冲突解决、国际司法协助流程、外交保护法律实务、国际组织法律规则应用
司法鉴定学,法学,法学类,司法鉴定程序合规、证据技术鉴定（痕迹/文书/法医）、鉴定报告撰写、司法鉴定标准应用、鉴定结果质证
