学科门类,专业类,专业名称,核心技能
哲学,哲学类,哲学,思辨性文本分析、逻辑推理与论证、批判性思维、跨文化思想比较、哲学经典研读、辩证思维运用
哲学,哲学类,逻辑学,形式逻辑推理、论证有效性分析、逻辑谬误识别、命题逻辑演算、谓词逻辑应用、逻辑系统构建
哲学,哲学类,宗教学,宗教典籍解读、跨宗教文化比较、宗教伦理分析、宗教社会学研究、宗教历史梳理
哲学,哲学类,伦理学,伦理决策框架构建、道德困境分析、社会伦理评估、科技伦理研判（如生命/环境伦理）、伦理规范制定
经济学,经济学类,经济学,宏观经济分析（GDP/通胀/货币政策）、微观经济博弈建模、计量经济分析（Stata/EViews）、经济政策效果评估、经济数据解读
经济学,经济学类,经济统计学,统计数据建模、数据可视化（Power BI/Tableau）、统计报告撰写、抽样调查设计、数据可靠性检验
经济学,经济学类,国民经济管理,区域经济规划、宏观政策效果评估、国民经济账户分析、经济运行监测、产业布局优化
经济学,经济学类,资源与环境经济学,环境成本核算、资源定价模型、绿色经济政策分析、生态价值评估、环境经济损益分析
经济学,经济学类,商务经济学,商务谈判、市场需求预测、企业经济行为分析、商业模式设计、商务数据分析
经济学,经济学类,能源经济,能源市场供需分析、能源政策评估、能源成本核算、新能源产业经济分析、能源安全风险研判
经济学,经济学类,劳动经济学,劳动力市场分析、薪酬体系设计、就业政策评估、人力资本测算、劳动关系协调
经济学,经济学类,经济工程,经济系统建模、工程成本效益分析、项目经济可行性评估、技术经济评价、资源优化配置
经济学,经济学类,数字经济,数字经济模型构建、电商数据运营、数字产业政策分析、平台经济监管研究、数字经济收益测算
经济学,财政学类,财政学,财政预算编制、财政政策效果评估、政府收支管理、财政风险防控、公共财政项目评估
经济学,财政学类,税收学,税收制度设计、税务筹划、税收合规审查、税收征管流程优化、涉税风险评估
经济学,财政学类,国际税收,国际税收协定解读、跨境税务筹划、国际避税风险评估、转让定价调整、跨境税收争议解决
经济学,金融学类,金融学,金融市场分析（股票/债券/衍生品）、财务报表解读、投资组合构建、风险对冲策略、金融监管政策解读
经济学,金融学类,金融工程,量化投资策略开发（Python）、金融衍生品定价（Black-Scholes模型）、风险对冲模型设计、金融数据建模、算法交易回测
经济学,金融学类,保险学,风险评估、保险产品设计、精算模型构建、保险理赔流程管理、保险资金运用分析
经济学,金融学类,投资学,投资项目估值（DCF/可比公司法）、资产配置策略、行业投资分析、投资风险控制、私募/公募基金运作
经济学,金融学类,金融数学,金融数学建模、随机过程分析、期权定价模型应用、利率期限结构构建、信用风险量化
经济学,金融学类,信用管理,信用风险评级、企业信用评估、信用政策设计、应收账款管理、信用数据库搭建
经济学,金融学类,经济与金融,宏微观金融联动分析、金融政策与经济周期关联评估、跨市场风险传导分析、产融结合方案设计
经济学,金融学类,精算学,精算模型构建、保险精算定价、风险准备金计算、寿险/非寿险精算分析、偿付能力评估
经济学,金融学类,互联网金融,互联网信贷风控、区块链金融应用、数字支付系统设计、P2P平台运营管理、互联网金融合规
经济学,金融学类,金融科技,金融大数据分析（Hadoop/Spark）、智能投顾策略开发、金融科技合规、API接口开发、金融AI模型应用（如反欺诈）
经济学,金融学类,金融审计,金融机构审计、金融风险合规审查、审计报告撰写、内控制度评估、金融舞弊线索识别
经济学,经济与贸易类,国际经济与贸易,国际贸易实务（进出口流程）、跨境电商运营（亚马逊/阿里国际站）、贸易术语应用（Incoterms）、信用证结算、国际贸易合规
经济学,经济与贸易类,贸易经济,贸易政策合规审查、市场渠道拓展、贸易流量预测、大宗商品贸易分析、内外贸一体化运营
经济学,经济与贸易类,国际经济发展合作,国际援助项目评估、跨境合作机制设计、发展中国家经济分析、国际经济组织规则应用、援外项目管理
法学,法学类,法学,法律条文解读、法律文书撰写（合同/诉状/意见书）、案例检索与类比、谈判式调解、法律风险评估、庭审辩论
法学,法学类,知识产权,知识产权确权流程（专利/商标/版权）、专利/商标检索分析、知识产权侵权维权、知识产权许可谈判、知识产权战略布局
法学,法学类,监狱学,监狱管理规范解读、服刑人员教育方案设计、狱政合规管理、社区矫正衔接、监狱安全风险防控
法学,法学类,信用风险管理与法律防控,信用风险法律合规审查、金融信用条款设计、风险防控方案撰写、不良资产处置法律实务、信用纠纷诉讼代理
法学,法学类,国际经贸规则,跨境贸易法律条款解读、WTO规则应用、国际经贸争端分析、双边/多边贸易协定研究、反倾销/反补贴应对
法学,法学类,司法警察学,司法警务规范执行、法庭安全保障、司法文书送达、犯罪嫌疑人押解、司法秩序维护
法学,法学类,社区矫正,社区矫正方案设计、服刑人员心理疏导、社区矫正合规管理、再犯罪风险评估、社区矫正档案管理
法学,法学类,纪检监察,纪律审查流程执行、监察证据收集（谈话/函询）、违纪案件定性分析、纪检监察法规解读、廉政风险防控
法学,法学类,国际法,国际条约解读、跨境法律冲突解决、国际司法协助流程、外交保护法律实务、国际组织法律规则应用
法学,法学类,司法鉴定学,司法鉴定程序合规、证据技术鉴定（痕迹/文书/法医）、鉴定报告撰写、司法鉴定标准应用、鉴定结果质证
法学,法学类,国家安全学,国家安全风险评估、安全政策解读、安全事件应急处置、反间谍法律实务、国家安全战略研究
法学,法学类,海外利益安全,海外利益风险识别（政治/经济/安全）、跨境安全保障方案设计、涉外安全合规、海外危机公关、领事保护协调
法学,政治学类,政治学与行政学,政策文本分析、行政流程设计、政治制度比较、公共事务管理、行政决策评估
法学,政治学类,国际政治,国际关系分析（现实主义/自由主义）、国际局势研判、外交政策解读、地缘政治研究、国际冲突调解
法学,政治学类,外交学,外交文书撰写（照会/声明）、涉外沟通谈判、外交礼仪应用、外交政策制定建议、领事事务处理
法学,政治学类,国际事务与国际关系,国际组织规则应用（联合国/欧盟）、跨境事务协调、全球治理方案分析、国际关系调研、多边外交实务
法学,政治学类,政治学、经济学与哲学,跨学科理论融合分析（政经哲联动）、综合决策框架构建、社会发展规律研判、公共政策多维度评估、复杂问题系统拆解
法学,政治学类,国际组织与全球治理,国际组织机制解读、全球治理方案设计、多边合作协调、国际规则制定参与、全球议题研究（气候/贫困）
法学,社会学类,社会学,社会调研方法（问卷设计/深度访谈）、社会数据分析（SPSS）、社会问题归因、社会政策评估、社区治理研究
法学,社会学类,社会工作,个案工作介入（危机干预）、小组活动设计（社区支持）、社区资源链接、弱势群体帮扶、社会工作督导
法学,社会学类,人类学,田野调查方法、文化差异分析、民族志撰写、跨文化沟通、文化人类学理论应用
法学,社会学类,女性学,性别议题分析（就业/教育/权益）、女性权益政策解读、性别平等方案设计、女性发展调研、反性别歧视法律实务
法学,社会学类,家政学,家庭资源管理、家政服务规范设计、家庭关系疏导、婴幼儿照护指导、老年家庭照护方案
法学,社会学类,老年学,老年需求评估、养老服务方案设计、老龄化政策分析、老年社会工作、养老产业运营研究
法学,社会学类,社会政策,社会政策制定逻辑分析、政策效果评估（成本-收益）、民生需求匹配、政策文本解读、社会政策比较研究
法学,民族学类,民族学,民族文化调研、民族政策解读、跨民族沟通协调、民族历史梳理、民族地区发展规划
法学,马克思主义理论类,科学社会主义,社会主义理论分析（马克思主义经典）、意识形态建设逻辑解读、科学社会主义实践研究、当代社会主义思潮研判、社会主义制度比较
法学,马克思主义理论类,中国共产党历史,党史文献解读、党史事件分析、红色资源应用、党史教育方案设计、党史人物研究
法学,马克思主义理论类,思想政治教育,思政课程设计、思想动态引导、理论宣讲表达、思政教育评估、社会主义核心价值观培育
法学,马克思主义理论类,马克思主义理论,马克思主义经典著作解读、理论体系辨析（唯物史观/剩余价值）、理论应用分析、马克思主义中国化研究、马克思主义思潮批判
法学,马克思主义理论类,工会学,工会组织机制分析、职工权益维护方案设计、工会谈判实务、劳动关系协调、工会政策解读
法学,公安学类,治安学,治安防控方案设计、治安案件处置、公共安全风险评估、治安巡逻规划、群体性事件预防
法学,公安学类,侦查学,案件侦查逻辑构建、证据收集与固定、侦查文书撰写、侦查技术应用（监控/追踪）、犯罪心理分析
法学,公安学类,边防管理,边防管控流程执行、跨境人员/物品查验、边防应急处置、边防情报收集、边防涉外合作
法学,公安学类,禁毒学,毒品识别与检验、禁毒宣传方案设计、涉毒案件侦办、吸毒人员管控、禁毒国际合作
法学,公安学类,警犬技术,警犬训练与指挥（搜爆/搜毒）、警犬日常管理、警犬作业现场协调、警犬疾病预防、警犬技术教学
法学,公安学类,经济犯罪侦查,经济案件数据核查、财务造假线索识别、经济犯罪定性分析、涉案资金追查、经济侦查文书撰写
法学,公安学类,边防指挥,边防任务指挥调度、边防警力资源配置、边防突发事件处置、边防指挥预案制定、边防协同作战协调
法学,公安学类,消防指挥,消防救援方案制定、火场指挥调度、消防资源协调、火灾风险评估、消防演练组织
法学,公安学类,警卫学,警卫方案设计、重点目标安保、警卫应急处置、警卫路线规划、警卫人员管理
法学,公安学类,公安情报学,情报收集与分析、情报网络构建、情报研判报告撰写、情报保密管理、情报应用指导
法学,公安学类,犯罪学,犯罪行为归因分析、犯罪趋势预测、犯罪预防方案设计、犯罪统计分析、犯罪矫正研究
法学,公安学类,公安管理学,公安队伍管理、公安行政流程优化、公安资源调配、公安绩效考核、公安信息化建设
法学,公安学类,涉外警务,涉外案件处置、跨境警务协作、涉外人员沟通（外语）、涉外警务法规解读、国际警务合作
法学,公安学类,国内安全保卫,国内安全风险排查、重点人员管控、安全保卫方案设计、反颠覆渗透工作、国内安全情报分析
法学,公安学类,警务指挥与战术,警务指挥流程、战术方案制定、现场警力调度、应急处突战术、警务战术训练
法学,公安学类,技术侦查学,侦查技术工具应用（监听/定位）、技术证据固定、技术侦查合规管理、技术侦查数据分析、技术侦查报告撰写
法学,公安学类,海警执法,海上执法流程、海上案件处置、海上资源管控、海上巡逻执法、海警涉外执法协调
法学,公安学类,公安政治工作,公安队伍思想建设、公安宣传方案设计、公安组织文化构建、公安思政教育、公安表彰奖励管理
法学,公安学类,移民管理,移民身份核查、移民政策解读、移民事务办理、移民权益保障、移民风险防控
法学,公安学类,出入境管理,出入境证件查验、出入境流程优化、涉外人员管控、出入境数据统计、出入境违规处置
法学,公安学类,反恐警务,反恐风险评估、反恐应急方案设计、涉恐案件处置、反恐情报收集、反恐宣传教育
法学,公安学类,消防政治工作,消防队伍思想建设、消防宣传教育、消防组织文化构建、消防思政培训、消防先进典型选树
法学,公安学类,铁路警务,铁路安全防控、铁路案件处置、铁路警力调配、铁路客流安全管理、铁路沿线治安管理
教育学,教育学类,教育学,教育理论应用（建构主义/行为主义）、教学方案设计、教育效果评估（考试/观察）、课程开发、教育政策解读
教育学,教育学类,科学教育,科学实验设计、科普内容开发、科学教学方法应用（探究式）、科学课程资源整合、学生科学素养评估
教育学,教育学类,人文教育,人文课程设计（文学/历史/哲学）、人文素养培育、跨学科人文教学、人文教育活动组织、学生人文认知评估
教育学,教育学类,教育技术学,教育信息化工具应用（PPT/在线平台）、在线课程开发（MOOC）、教学资源数字化、教育技术评估、人工智能教育应用
教育学,教育学类,艺术教育,艺术课程设计（音乐/美术）、艺术教学方法应用、艺术素养培育、艺术展演组织、学生艺术能力评估
教育学,教育学类,学前教育,幼儿课程设计（游戏化）、幼儿行为引导、幼儿活动组织、幼儿发展评估、家园共育协调
