职位,薪水,经验,学历,关键词,工作地址
兼职翻译-英语翻译-科技翻译-专利翻译-医学翻译,1.6-2.2万,经验不限,大专,"1. 有一定空余时间，可以用来做兼职翻译；
2. 网络沟通方便，回复及时；
3. 有翻译经验，翻译领域多样化；
岗位职责：
1. 能在规定时间内及时交稿，并且质量有保证的情况下优先
2. 态度谦虚，做稿仔细，不要出现基本的漏译、词汇不统一，不查标翻这种基本错误
3. 本职位属于soho在家办公，若时间充足、网络应用方便者优先
4. 应聘之前先接受我们公司的测试稿，通过之后方可成为本公司soho翻译或者专职译员
5. 公司拒绝一切不懂行情随意报价者。
任职资格：
1. 大学本科以上学历，外语类相关专业，若在某一固定领域外语水平较好，也可；
2. 外语听说能力良好，笔译功底深厚，精通中外互译，有自己独特的翻译领域，翻译公司从业者优先考虑；
3. 1年及以上翻译经验者优先，工作认真细致、思维敏捷，责任心强；
4. 有编辑、笔译相关工作经验并熟练使用Office办公软件，会使用CAT工具者优先考虑；
5. 良好的团队合作性，有抗压能力，反应灵敏，学习能力强
职位福利：弹性工作、无试用期、soho办公、每年多次调薪","工作地点
全国
查看地图"
英语翻译,8000-15000元,1年以下,本科,"岗位职责
1、负责日常英语业务的翻译；
2、接受主管的分配的翻译任务；
3、保证翻译质量；
4、翻译资料的整理收集、知识管理；
5、翻译并与翻译团队成员沟通协作；
6、参加部门内开展的专业培训与交流，提高翻译的专业水平。
岗位要求
1、大学本科以上学历，外语类相关专业，专业英语8级证书；
2、外语听说能力良好，笔译功底深厚，精通中外互译，中文文笔优秀；
3、2年以上翻译经验，工作认真细致、思维敏捷，责任心强；
4、有编辑、笔译相关工作经验优先考虑。

职位福利：五险一金、全勤奖、绩效奖金","工作地点
河南省洛阳市西工区八一南路中基大厦907室
查看地图"
英语翻译,6000-10000元,1-3年,本科,"岗位职责：
1.稿件的翻译，审校工作；
2.负责向项目经理提供译员翻译质量的反馈工作；
3.负责术语表和TM的整理；
4.负责与其他部门协调配合执行相关质量控制工作；
5.协助项目经理以及客户解决项目生产中的问题；
6.与项目组成员和合作伙伴进行沟通交流，解答项目团队提出的质量问题，及时提交客户满意的项目文件；
7.熟练使用质量管理中涉及到的工具；
8.总结项目经验、对结束的项目进行归档；
9.完成上级领导临时交办的工作。

任职要求：
1.大学本科以上学历，拥有CATTI笔译二级及以上证书或英语专八证书；
2.有两年以上本地化或翻译经验；
3.优秀的中英文听说读写能力；
4.做事主动，能快速学习并掌握新知识；
5.有较高的职业素养，严谨细致、认真负责、具有团队精神。","工作地点
海淀区国际传播大厦北京中外翻译咨询有限公司 7层
查看地图"
兼职英语翻译实习生-英语翻译-科技翻译-专利翻译-医学翻译,240-300元/天,,大专,"1. 有一定空余时间，可以用来做兼职翻译；
2. 网络沟通方便，回复及时；
3. 有翻译经验，翻译领域多样化；
岗位职责：
1. 能在规定时间内及时交稿，并且质量有保证的情况下优先
2. 态度谦虚，做稿仔细，不要出现基本的漏译、词汇不统一，不查标翻这种基本错误
3. 本职位属于soho在家办公，若时间充足、网络应用方便者优先
4. 应聘之前先接受我们公司的测试稿，通过之后方可成为本公司soho翻译或者专职译员
5. 公司拒绝一切不懂行情随意报价者。
任职资格：
1. 大学本科以上学历，外语类相关专业，若在某一固定领域外语水平较好，也可；
2. 外语听说能力良好，笔译功底深厚，精通中外互译，有自己独特的翻译领域，翻译公司从业者优先考虑；
3. 1年及以上翻译经验者优先，工作认真细致、思维敏捷，责任心强；
4. 有编辑、笔译相关工作经验并熟练使用Office办公软件，会使用CAT工具者优先考虑；
5. 良好的团队合作性，有抗压能力，反应灵敏，学习能力强
职位福利：弹性工作、无试用期、soho办公、每年多次调薪","工作地点
全国
查看地图"
英语翻译,7000-12000元,1-3年,本科,"岗位性质：
全职 英语翻译
岗位职责：
1．根据主管的安排，积极主动承接工作；
2．遵循翻译原则，认真翻译好任务稿件，全力满足客户的需求；
3．如实翻译，遇到自己无法解决的问题，应作好记录，与同事交流共同解决；
4．认真校对自己翻译的稿件，尽可能减少错误；
5．维护顾客权益，不随意泄露顾客的资料；
6．不断学习目标语言国家各项语言常识，收集术语及语料，提升自身业务水平；
7．接受部门内的业务培训和公司的其他培训；
8．与团队成员和睦相处，互相学习、帮助，共同进步；
9．按时认真完成主管交办的其它事宜。
任职要求：
1.统招本科及以上学历，英语等相关专业优先，日语、德宇、法语、韩语、俄语、葡语等小语种优先；
2.CET6级级以上，笔译三级及以上，有雅思托福成绩或海外留学经历者优先；
3.就有良好的英语理解能力、撰写能力、翻译能力和沟通能力；
4.踏实勤奋，抗压能力强；
5.工作认真、细心，能较好的完成项目工作；
薪资待遇：
试用期：基本工资4000+奖金+翻译提成
转正：基本工资5000+奖金+翻译提成提成
五险转正缴纳
工作时间：
8:30-18：30 双休","工作地点
洛阳西工区中基大厦907室
查看地图"
英语翻译,8000-12000元,1-3年,本科,"由归国华侨创办‘济南题名翻译有限责任公司在工商部门注册，取得正式的营业资格，翻译语种包括：英语、日语、韩语、德语、法语、俄语、西班牙语、泰语等多国语言，我公司拥有省内优秀的翻译人才，能对大批量的专业资料进行准确而快速的翻译。
公司聘用的翻译人员均为各行各业中经验丰富的专业人士，他们不仅在各自领域学有专长、外语造诣精湛，文笔流畅，而且都是经过严格审核并在实践中得到检验的翻译精英。有一流的翻译还要有专业的校对班子！ 题名对每次翻译的文章都要进行严格的译审和校对，在保证质量的同时，使客户得到真正的放心。
济南题名翻译有限责任公司从创业至今，坚持奉行“保证质量，让利客户”的宗旨，赢得了各界朋友的赞誉和鼎力支持：“品质是题名成功的后盾！”
我公司与省内外数家国家机关、企事业单位、外资机构和留学机构保持着稳定的业务联系，先进的办公设备保证了翻译、校对、图文处理、 设计、排版、装订等一条龙服务，全心全意的服务，使题名成为您成功道路上的得力助手！
目前，本社业务蒸蒸日上，规模日渐扩大，在同行业中脱颖而出。相信，我们会以积极的姿态为您提供出色的服务。
招聘职位：
英语翻译
要求：
1、笔译功底深厚，精通中外互译，有自己独特的翻译领域，翻译公司经验者优先考虑；
2、要求一年及以上翻译经验者优先，外语类相关专业及有相关语种专业证书者优先；
3、业余时间较多，工作认真细致、思维敏捷，责任心强者优先；
福利待遇等","工作地点
北京朝阳区朝阳大悦城
查看地图"
英语翻译,6000-8000元,1-3年,本科,"岗位职责
1、负责日常英语业务的翻译；
2、接受主管的分配的翻译任务；
3、保证翻译质量；
4、翻译资料的整理收集、知识管理；
5、翻译并与翻译团队成员沟通协作；
6、参加部门内开展的专业培训与交流，提高翻译的专业水平。
岗位要求
1、大学本科以上学历，外语类相关专业，专业英语8级证书；
2、外语听说能力良好，笔译功底深厚，精通中外互译，中文文笔优秀；
3、2年以上翻译经验，工作认真细致、思维敏捷，责任心强；
4、有编辑、笔译相关工作经验优先考虑。

职位福利：绩效奖金","工作地点
上海浦东新区东方路985号一百杉杉大厦15楼F座
查看地图"
全职英语翻译-专职英语翻译,1.6-2.2万,经验不限,本科,"1. 有一定空余时间，可以用来做兼职翻译；
2. 网络沟通方便，回复及时；
3. 有翻译经验，翻译领域多样化；
岗位职责：
1. 能在规定时间内及时交稿，并且质量有保证的情况下优先
2. 态度谦虚，做稿仔细，不要出现基本的漏译、词汇不统一，不查标翻这种基本错误
3. 本职位属于soho在家办公，若时间充足、网络应用方便者优先
4. 应聘之前先接受我们公司的测试稿，通过之后方可成为本公司soho翻译或者专职译员
5. 公司拒绝一切不懂行情随意报价者。
任职资格：
1. 大学本科以上学历，外语类相关专业，若在某一固定领域外语水平较好，也可；
2. 外语听说能力良好，笔译功底深厚，精通中外互译，有自己独特的翻译领域，翻译公司从业者优先考虑；
3. 1年及以上翻译经验者优先，工作认真细致、思维敏捷，责任心强；
4. 有编辑、笔译相关工作经验并熟练使用Office办公软件，会使用CAT工具者优先考虑；
5. 良好的团队合作性，有抗压能力，反应灵敏，学习能力强
职位福利：弹性工作、无试用期、soho办公、每年多次调薪","工作地点
北京海淀区新起点嘉园4号楼205室
查看地图"
全职英语翻译,6000-12000元,1-3年,本科,"岗位职责：
1. 接受项目经理辅导和培训，完成项目经理分配的工作任务。
2. 对安排的稿件进行及时、准确的翻译。
3. 接受公司不定期的辅导和培训。
任职要求：
1、英语或者相关专业毕业
2、具有良好的双语功底，理解表达能力强
3、踏实、认真、责任心强
4、具有不断学习的精神，愿意不断提升翻译水平
5、持有翻译证书者优先考虑

职位福利：五险一金、绩效奖金、全勤奖、带薪年假、员工旅游、节日福利","工作地点
郑州金水区国际企业中心B座13层
查看地图"
英语法律类翻译,8000-10000元,3-5年,本科,"工作条件：
学历：本科以上学历，英语或者法学专业优先
资历：具有2年以上法律类翻译经验；
软件：会TRADOS者尤佳。
待遇：论件计酬
工作地点：地域不限。
附加条件：
1.熟悉相关法律，了解行内术语，用词专业，文笔流畅；
2.优秀的表达能力，文字功底深厚，优秀的表达能力，文字功底深厚。","工作地点
全国
查看地图"
